frameindex,frametime,cputime,culltime,gputime,draws,tris,
1242,9483.599609,2242.899902,1818.900024,7393.000000,2316,37055616,
1243,9608.900391,2317.500000,1867.800049,7453.200195,2301,37025664,
1244,9697.799805,2270.800049,1833.199951,7586.399902,2293,37029568,
1245,9366.000000,2196.300049,1770.500000,7328.799805,2291,37239509,
1246,9602.099609,2278.800049,1870.800049,7470.200195,2267,37030016,
1247,9426.900391,2092.600098,1670.500000,7487.399902,2275,34433740,
1248,9516.299805,2225.199951,1816.699951,7438.700195,2296,34318732,
1249,9696.599609,2311.800049,1868.599976,7535.899902,2286,34144098,
1250,9576.200195,2269.699951,1811.300049,7473.299805,2269,33863480,
1251,9690.900391,2233.800049,1748.400024,7626.200195,2247,33567480,
1252,9535.799805,2285.300049,1859.199951,7409.000000,2271,33517816,
1253,9626.500000,2216.500000,1797.599976,7548.299805,2246,33526648,
1254,9470.099609,2223.300049,1789.599976,7405.000000,2269,34360610,
1255,9569.000000,2079.699951,1653.900024,7635.000000,2286,34384226,
1256,9699.299805,2309.000000,1865.800049,7549.799805,2267,34393954,
1257,9495.400391,2333.800049,1871.000000,7315.299805,2261,34564002,
1258,9731.200195,2274.199951,1877.000000,7597.299805,2246,34571490,
1259,9324.799805,2225.100098,1799.400024,7260.799805,2268,34581602,
1260,9639.200195,2128.300049,1691.599976,7675.299805,2284,34250616,
1261,9753.599609,2253.899902,1819.900024,7676.200195,2283,34346488,
1262,9811.299805,2345.600098,1888.099976,7635.600098,2268,34425037,
1263,9637.400391,2166.699951,1715.500000,7633.500000,2256,33957134,
1264,9559.299805,2282.199951,1829.199951,7425.000000,2294,33990798,
1265,9837.900391,2355.399902,1897.500000,7648.799805,2294,34028494,
1266,9461.099609,2290.100098,1854.300049,7339.000000,2308,34309134,
1267,9980.500000,2423.100098,1977.900024,7722.799805,2332,34845240,
1268,9698.200195,2361.500000,1916.699951,7491.399902,2329,34847992,
1269,9645.500000,2270.500000,1799.500000,7548.799805,2345,34372558,
1270,9953.500000,2337.199951,1896.699951,7784.899902,2341,34599918,
1271,9783.799805,2354.600098,1924.599976,7578.799805,2338,31329316,
1272,10166.900391,2322.800049,1882.300049,8006.600098,2301,28011930,
1273,9789.500000,2272.500000,1818.900024,7683.299805,2312,28432239,
1274,9894.900391,2315.399902,1878.099976,7732.700195,2277,28242074,
1275,9777.599609,2231.300049,1794.000000,7716.600098,2249,28237786,
1276,9673.599609,2364.100098,1919.300049,7473.700195,2268,28741738,
1277,9938.000000,2199.600098,1754.800049,7895.500000,2265,28798682,
1278,9709.200195,2224.899902,1796.900024,7650.200195,2263,28620186,
1279,9647.599609,2270.500000,1801.300049,7563.399902,2278,28624000,
1280,10072.599609,2424.300049,1993.599976,7809.299805,2280,28471216,
1281,9851.700195,2390.899902,1959.199951,7614.399902,2292,28648880,
1282,10171.400391,2342.699951,1902.400024,7992.799805,2307,28744864,
1283,9958.099609,2287.100098,1854.000000,7830.000000,2322,28510928,
1284,9933.599609,2259.600098,1819.199951,7837.200195,2326,28288816,
1285,9614.000000,2132.600098,1690.199951,7642.200195,2331,27965286,
1286,9784.700195,2267.699951,1797.699951,7673.799805,2344,30833766,
1287,9986.299805,2298.800049,1873.500000,7829.500000,2360,30696070,
