frameindex,frametime,cputime,culltime,gputime,draws,tris,
4898,13861.099609,2932.300049,2335.300049,11140.700195,3886,38006648,
4899,14173.900391,3064.899902,2437.199951,11339.799805,3897,40804622,
4900,13784.799805,2887.000000,2288.600098,11117.500000,3841,40972046,
4901,13909.599609,2967.199951,2385.300049,11170.299805,3880,41045406,
4902,13824.500000,2970.100098,2366.199951,11058.500000,3885,43583874,
4903,13924.099609,2921.100098,2320.800049,11233.700195,3870,43461378,
4904,14034.099609,2917.000000,2320.100098,11322.400391,3837,43341890,
4905,14018.900391,2944.100098,2325.899902,11308.299805,3832,43373058,
4906,13892.400391,2797.699951,2209.000000,11303.099609,3802,43249090,
4907,13810.099609,2915.800049,2323.300049,11122.700195,3824,45996706,
4908,13696.700195,3042.500000,2396.500000,10882.000000,3826,45820312,
4909,13846.700195,2914.600098,2286.800049,11173.400391,3812,45811800,
4910,13918.000000,2904.600098,2289.300049,11258.000000,3787,46051576,
4911,13862.000000,2952.199951,2323.800049,11142.799805,3764,46335096,
4912,14013.400391,2932.300049,2296.699951,11312.200195,3777,46325944,
4913,14134.700195,2866.699951,2213.000000,11502.900391,3777,46167096,
4914,13828.000000,2892.699951,2217.199951,11185.599609,3741,46134136,
4915,14010.599609,3041.800049,2427.399902,11186.400391,3749,46058744,
4916,13972.799805,3053.699951,2432.300049,11150.599609,3767,45751438,
4917,13823.500000,3011.399902,2400.899902,11040.900391,3757,42696206,
4918,13946.200195,2995.399902,2379.899902,11187.299805,3737,40060010,
4919,13708.000000,2903.199951,2328.300049,11018.200195,3696,39977818,
4920,13874.799805,3060.500000,2392.300049,11073.900391,3685,40263940,
4921,14123.700195,3029.699951,2422.500000,11324.299805,3679,40100964,
4922,13680.200195,2814.699951,2205.699951,11084.900391,3671,39456420,
4923,13825.099609,2838.800049,2258.399902,11197.299805,3657,39332516,
4924,13776.200195,2798.699951,2204.800049,11222.400391,3614,39170698,
4925,13930.200195,2763.000000,2180.300049,11387.500000,3629,39152698,
4926,13637.000000,2868.199951,2247.100098,11008.200195,3654,39192826,
4927,14057.900391,2789.899902,2210.699951,11492.700195,3606,39196410,
4928,13946.799805,2877.899902,2280.500000,11291.000000,3631,39262202,
4929,14107.900391,2801.699951,2225.800049,11527.299805,3626,39215226,
4930,13990.599609,2820.100098,2227.500000,11387.299805,3631,39361359,
4931,13611.200195,2800.500000,2198.399902,11047.000000,3598,39265658,
4932,13765.599609,2838.600098,2194.899902,11159.900391,3613,39459514,
4933,13948.400391,2813.100098,2212.199951,11364.799805,3627,43015972,
4934,13861.900391,2774.300049,2172.000000,11317.599609,3625,42962852,
4935,13876.500000,2827.100098,2214.800049,11299.200195,3605,42948964,
4936,14022.000000,2856.100098,2213.899902,11416.900391,3597,42939940,
4937,14082.900391,2777.199951,2189.699951,11535.400391,3586,42995076,
4938,13487.200195,2803.199951,2185.699951,10901.900391,3586,43044804,
4939,14112.200195,2861.100098,2253.199951,11461.000000,3595,42756420,
4940,14026.099609,2808.500000,2189.100098,11450.299805,3573,42599876,
4941,13927.599609,2785.100098,2202.699951,11343.900391,3543,42313796,
4942,13828.599609,2876.800049,2282.500000,11175.599609,3542,42343471,
4943,13966.500000,2877.699951,2302.199951,11286.400391,3510,42560324,
4944,13710.099609,2737.899902,2177.100098,11188.099609,3529,42624772,
4945,13925.200195,2840.100098,2230.500000,11318.500000,3506,42582532,
4946,13878.500000,2762.699951,2205.699951,11305.900391,3501,44019700,
4947,14007.500000,2829.000000,2243.399902,11384.000000,3492,45376996,
4948,14172.200195,2801.500000,2202.899902,11597.000000,3493,45356772,
4949,13837.400391,2832.800049,2244.699951,11230.099609,3522,45385124,
4950,13762.400391,2829.300049,2267.300049,11151.000000,3494,45703038,
4951,13967.900391,2674.600098,2117.699951,11515.599609,3511,45594862,
4952,13842.900391,2810.899902,2213.699951,11251.599609,3464,45455726,
4953,14065.799805,2800.100098,2241.100098,11472.099609,3457,48187938,
4954,14045.000000,2651.199951,2104.500000,11591.299805,3436,48278754,
4955,13886.299805,2719.699951,2164.399902,11382.099609,3414,48342242,
4956,13731.700195,2663.000000,2119.899902,11262.400391,3490,51145430,
4957,13878.500000,2705.100098,2129.500000,11384.000000,3450,51072854,
4958,13747.400391,2660.300049,2092.199951,11302.700195,3456,48187958,
4959,13866.900391,2562.600098,2022.300049,11517.900391,3431,47963094,
4960,13983.299805,2690.199951,2112.100098,11515.700195,3415,47380780,
